year,month,day,genesis,hyundai,kia,lexus,toyota,bmw,benz,,,,,,
2019,9,10,260.7143116,198.565187,190.500348,240.7427256,221.7834587,211.2764775,216.4166349,,,,,,
2019,9,15,260.7006131,198.7533019,190.4760589,240.7427256,222.3445033,212.5657271,215.0076121,,,,,,
2019,9,20,257.5225376,198.8811036,190.5192893,240.7427256,222.8919515,212.8874085,214.1652852,,,,,,
2019,9,25,254.3444622,199.0089053,190.5625197,240.7427256,223.4393998,213.2090898,213.3229584,,,,,,
2019,10,1,251.5181878,199.0089053,190.6084569,238.653583,223.701243,212.8874085,212.8561051,,,,,,
2019,10,5,247.3519385,199.0089053,190.6084569,238.653583,223.8660568,213.2090898,212.2363039,,,,,,
2019,10,10,243.1856892,199.0089053,190.6084569,238.653583,224.0308706,213.5307712,211.6165027,,,,,,
2019,10,15,240.6961135,198.5869888,190.4878028,239.7573217,223.9644657,215.0444193,211.1713045,,,,,,
2019,10,20,236.691291,198.0534957,190.2031526,240.5131154,224.0308706,215.8047676,211.0662794,,,,,,
2019,10,25,232.6864685,197.5200026,189.9185023,241.2689091,224.0972756,216.565116,210.9612543,,,,,,
2019,11,1,230.2718021,197.1350849,189.7176773,242.4325515,224.1980814,217.0108316,211.0662794,,,,,,
2019,11,5,227.3278258,196.3414397,189.1852057,242.4325515,224.1980814,217.0108316,210.9612543,,,,,,
2019,11,10,224.3756718,195.54559,188.6512549,242.4325515,224.1980814,217.0108316,210.8562292,,,,,,
2019,11,15,224.647741,194.9171024,188.2695762,241.5091966,223.7909362,216.4151548,210.2731247,,,,,,
2019,11,20,221.9509653,194.0797586,187.5370965,241.0360232,223.2771283,216.005618,210.0023548,,,,,,
2019,11,25,219.2616599,193.2447343,186.8066458,240.5641607,222.7647436,215.5972156,209.7323349,,,,,,
2019,12,1,216.9458823,192.9793153,186.2634508,240.5558548,222.4086849,215.6023187,209.8705324,,,,,,
2019,12,5,213.8626231,192.1605196,185.5278795,240.0699618,221.6325999,214.9659835,209.6092796,,,,,,
2019,12,10,210.7793638,191.3417239,184.7923082,239.5840687,220.856515,214.3296483,209.3480268,,,,,,
2019,12,15,209.7696881,190.6982036,184.4886624,238.606558,220.2649692,213.6514999,208.9851365,,,,,,
2019,12,20,206.534669,189.98578,183.8592402,238.606558,219.3967037,212.8239419,208.6960908,,,,,,
2019,12,25,203.2996499,189.2733565,183.2298179,238.606558,218.5284382,211.996384,208.4070452,,,,,,
2020,1,1,200.3737767,189.2760423,183.1266477,238.9646461,218.1216788,212.003912,208.6960908,,,,,,
2020,1,5,197.6875274,188.5984019,182.3807682,238.9646461,217.2912724,210.8281936,208.1640513,,,,,,
2020,1,10,195.001278,187.9207615,181.6348887,238.9646461,216.4608661,209.6524753,207.6320118,,,,,,
2020,1,15,195.3881629,187.1475898,180.7739543,237.2051468,215.9690362,208.3534222,206.5319055,,,,,,
2020,1,20,193.1034221,186.5975781,180.1298428,235.4279011,215.2446719,206.9453504,205.5027005,,,,,,
2020,1,25,190.8186813,186.0475664,179.4857313,233.6506555,214.5203077,205.5372786,204.4734954,,,,,,
2020,2,1,189.0576683,186.086867,179.4202568,232.1596988,214.2864896,205.1679982,204.2419728,,,,,,
2020,2,5,186.2638233,185.8483434,179.1602107,230.078418,213.6694512,203.7878348,203.0180261,,,,,,
2020,2,10,183.4699782,185.6098197,178.9001645,227.9971371,213.0524127,202.4076713,201.7940793,,,,,,
2020,2,15,181.1794312,185.4049599,178.829612,226.6659835,212.2388695,200.8442252,200.4054066,,,,,,
2020,2,20,179.134197,185.4049599,178.829612,225.0214967,212.1594797,200.044533,199.3829666,,,,,,
2020,2,25,177.0889628,185.4049599,178.829612,223.37701,212.0800898,199.2448408,198.3605267,,,,,,
2020,3,1,177.0876379,185.5780251,179.1850516,221.855984,212.0800898,199.673678,198.5128362,,,,,,
2020,3,5,176.0376522,185.8996375,179.725616,221.855984,212.0800898,199.2448408,197.9058262,,,,,,
2020,3,10,174.9905832,186.2203565,180.2646788,221.855984,212.0800898,198.8171947,197.3005024,,,,,,
2020,3,15,173.8915602,186.4768618,180.7477913,222.9081769,212.6467027,197.9033246,196.3521323,,,,,,
2020,3,20,173.8915602,187.0107882,181.5286799,223.2462283,212.981145,197.9033246,196.3521323,,,,,,
2020,3,25,173.8915602,187.5462019,182.3117436,223.5842798,213.316519,197.9033246,196.3521323,,,,,,
2020,4,1,174.8933705,188.0453648,183.0344852,223.5842798,213.3007368,198.6285427,196.8391276,,,,,,
2020,4,5,174.8933705,188.5729877,183.6354968,223.5842798,213.7546308,199.7295608,197.1979667,,,,,,
2020,4,10,174.8933705,189.1006106,184.2365084,223.5842798,214.2085248,200.8305788,197.5568059,,,,,,
